t,vram_used_mib,vram_free_mib,gpu_util_pct,power_w,comfyui_ram_mb,qwen_ram_mb
2345.0,,,,,16829,0
2351.0,,,,,16829,0
2356.0,,,,,16829,0
2361.0,,,,,16829,0
2367.0,,,,,16829,0
2372.0,,,,,16829,0
2377.0,,,,,16829,0
2383.0,,,,,16829,0
2388.0,,,,,16829,0
2393.0,,,,,16829,0
2399.0,,,,,16829,0
2404.0,,,,,16829,0
2409.0,,,,,16829,0
2415.0,,,,,16829,0
2420.0,,,,,16829,0
2425.0,,,,,16829,0
2431.0,,,,,16829,0
2436.0,,,,,16829,0
2441.0,,,,,16829,0
2447.0,,,,,16829,0
2452.0,,,,,16829,0
2457.0,,,,,16829,0
2463.0,,,,,16829,0
2468.0,,,,,16829,0
2473.0,,,,,16829,0
2479.0,,,,,16829,0
2484.0,,,,,16829,0
2489.0,,,,,16829,0
2495.0,,,,,16829,0
2500.0,,,,,16829,0
2506.0,,,,,16829,0
2511.0,,,,,16829,0
2516.0,,,,,16829,0
2522.0,,,,,16829,0
2527.0,,,,,16829,0
2532.0,,,,,16829,0
2538.0,,,,,16829,0
2543.0,,,,,16829,0
